Authors,Authors_link,Title,Title_link,Date
"Smith, J., King, V., Billot, J., Clouder, L.",https://pureportal.coventry.ac.uk/en/persons/deanne-clouder,Who am I today? Academic staff being and becoming doctoral students,https://pureportal.coventry.ac.uk/en/publications/who-am-i-today-academic-staff-being-and-becoming-doctoral-student,27 May 2021
"Hodds, M., Gilbert, H., Lawson, D.","https://pureportal.coventry.ac.uk/en/persons/holly-jade-gilbert,  https://pureportal.coventry.ac.uk/en/persons/mark-hodds,  https://pureportal.coventry.ac.uk/en/persons/duncan-lawson",“Everyone seems to be agreeing at the minute that face-to-face is the way forward”: Practitioners’ perspectives on post-pandemic Mathematics and Statistics Support,https://pureportal.coventry.ac.uk/en/publications/everyone-seems-to-be-agreeing-at-the-minute-that-face-to-face-is-,1 Dec 2021
"King, V., Beelen, J., Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Academic development to support the internationalization of the curriculum (IoC): A qualitative research synthesis,https://pureportal.coventry.ac.uk/en/publications/academic-development-to-support-the-internationalization-of-the-c,2 Jul 2020
"Alsop, S., Gardner, S., Priestley, J.","https://pureportal.coventry.ac.uk/en/persons/sian-alsop,  https://pureportal.coventry.ac.uk/en/persons/sheena-gardner",A corpus-driven investigation of connections between the language of written feedback information and ethnic attainment disparity in UK higher education,https://pureportal.coventry.ac.uk/en/publications/a-corpus-driven-investigation-of-connections-between-the-language,6 Feb 2020
"Clouder, D., Wearn, A., Barradell, S., Neve, H.",https://pureportal.coventry.ac.uk/en/persons/deanne-clouder,A qualitative research synthesis exploring professional touch in healthcare practice using the threshold concept framework,https://pureportal.coventry.ac.uk/en/publications/a-qualitative-research-synthesis-exploring-professional-touch-in-,1 Aug 2020
"Abdel Naby, H., Seddik, T., Affouneh, S., Stefanelli, C., Wimpenny, K., Almakari, A., Tweissi, A.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Breaking boundaries and building bridges across knowledge-sharing communities: OpenMed,https://pureportal.coventry.ac.uk/en/publications/breaking-boundaries-and-building-bridges-across-knowledge-sharing,20 Feb 2020
"Hiari, O., Maya, I., Villar-Onrubia, D., Wimpenny, K., Aldaoud, M., Cachia, R., Eldeib, A., Tweissi, A.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Cultural diversity in the adoption of open education in the Mediterranean basin: collectivist values and power distance in the universities of the Middle East,https://pureportal.coventry.ac.uk/en/publications/cultural-diversity-in-the-adoption-of-open-education-in-the-medit,2020
"Kamibeppu, T., Dang, Q. A.",https://pureportal.coventry.ac.uk/en/persons/que-anh-dang,"Curbing university autonomy and academic freedom in the name of quality assurance, accountability and internationalisation in East Asia",https://pureportal.coventry.ac.uk/en/publications/curbing-university-autonomy-and-academic-freedom-in-the-name-of-q,Aug 2020
"Sjoer, E., Wimpenny, K., Hindrix, K., Beelen, J., King, V.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Decolonising academic selves through auto-ethnography,https://pureportal.coventry.ac.uk/en/publications/decolonising-academic-selves-through-auto-ethnography,3 Dec 2020
"Chen, Y. F., Adefila, A.",https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen,Enhancing school safety through university engagement in DRR education,https://pureportal.coventry.ac.uk/en/publications/enhancing-school-safety-through-university-engagement-in-drr-educ,1 Apr 2020
"Smith, J., King, V., Billot, J., Clouder, L.",https://pureportal.coventry.ac.uk/en/persons/deanne-clouder,Friend or Foe: the complexities of being an academic and a doctoral student in the same institution,https://pureportal.coventry.ac.uk/en/publications/friend-or-foe-the-complexities-of-being-an-academic-and-a-doctora,1 Sept 2020
"Jones, L., Hagenmeier, C., Beelen, J., Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,From COIL to curriculum transformation in South Africa: How can curriculum decolonization operate in the third space in Global South-North collaborations?,https://pureportal.coventry.ac.uk/en/publications/from-coil-to-curriculum-transformation-in-south-africa-how-can-cu,3 Dec 2020
"Orsini-Jones, M., Wimpenny, K.","https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,  https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones",Innovation in Collaborative Online International Learning: A Holistic Blend,https://pureportal.coventry.ac.uk/en/publications/innovation-in-collaborative-online-international-learning-a-holis,20 Sept 2020
"Clouder, D., Smith, J., King, V., Billot, J.",https://pureportal.coventry.ac.uk/en/persons/deanne-clouder,Juggling competing activities: academic staff as doctoral candidates,https://pureportal.coventry.ac.uk/en/publications/juggling-competing-activities-academic-staff-as-doctoral-candidat,15 Apr 2020
"Palmerio, L., Tramontano, C., Nocentini, A., Menesini, E., Losito, B.",https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano,"Mapping Community, Social, and Economic risks to investigate the association with school violence and bullying in Italy",https://pureportal.coventry.ac.uk/en/publications/mapping-community-social-and-economic-risks-to-investigate-the-as,Nov 2020
